Brand,Name,Estate,District,Elevation MASL,Source Classification,Varietals,Fermentation,Process,Roast,Flavour Profile,Notes,Price/100 gms,Link,Sample Pack
Agastya Coffee,Espresso Blend,,"Kodagu, Karnataka",1000,Blend,80% Arabica + 20% Robusta,,Washed,Dark,Caramel • Dark Chocolate,,₹225.00,LINK,Yes
Ainmane,Anaerobic Liberica,,"Kodagu, Karnataka",800-850,Single Estate,Excelsa aka Liberica,Anaerobic,Natural,Light,Jackfruit • Plum • Star Anise,,₹240.00,LINK,No
Ainmane,Hardoor,Hadoor,"Kodagu, Karnataka",1050,Single Estate,,,,Light,Coriander • Lime Zest,,₹238.00,LINK,No
Ainmane,Monsooned Malabar,,"Kodagu, Karnataka",,Single Estate,,,Washed + Monsooned,Light,Earthy • Spice • Woody,,₹236.00,LINK,No
Ainmane,Baarbara Estate,Baarbara Estate,"Chikkamagaluru, Karnataka",1400,Single Estate,SLN - 795,,Washed,Medium,Caramel • Grapefruit • Lime Zest,,₹232.00,LINK,No
Ainmane,Café Blend,,"Chikkamagaluru, Kodagu, Karnataka",,Blend,Arabica + Robusta,,,Medium,Caramel • Fruity,,₹228.00,LINK,No
Ainmane,Honey Processed,,"Kodagu, Karnataka",1080,Microlot,,,Honey,Light,Floral • Lemon Zest,,₹207.00,LINK,No
Ainmane,Anaerobic Naturals,,"Kodagu, Karnataka",1080,Microlot,,Anaerobic,Natural,Light,Berries • Black Grapes • Candy,,₹207.00,LINK,No
Ainmane,Arabica Naturals,,"Kodagu, Karnataka",1080,Microlot,,,Natural,Light,Black Pepper • Chocolate • Orange,,₹207.00,LINK,No
Ainmane,Excelsa (Coffea Liberica),,"Kodagu, Karnataka",1080,Microlot,,,Washed,Light Medium,Berries • Raisins • Roasted Almond,,₹207.00,LINK,No
Ainmane,Kudlur,Kudlur Estate,"Kodagu, Karnataka",700,Single Estate,SLN - 795,,,Medium,Fruity,,₹200.00,LINK,No
Ainmane,Skandapuri,Skandapuri-Magarat Estate,"Kodagu, Karnataka",975,Single Estate,,,,Medium,Citrusy • Sweet,,₹200.00,LINK,No
Ainmane,Kabbe Estate,Kabbe,"Kodagu, Karnataka",1250,Single Estate,,,,Medium,Black Pepper • Fruity • Orange,,₹200.00,LINK,No
Alchemist Coffee Company,Air (Percolation Blend),,,,Blend,,,Honey + Natural + Washed,Medium,Fruity • Tea,,₹258.00,LINK,No
Alchemist Coffee Company,Mooley Manay Naturals,Mooley Manay Estate,"Kodagu, Karnataka",1000,Blend,"Chandragiri SLN - 13, SLN - 9, SLN - 795",,,Medium,Cherry • Lime • Ripe Papaya,,₹258.00,LINK,No
Alchemist Coffee Company,Primus Victus,,,,Blend,,,,Medium Dark,,,₹256.00,LINK,No
Alchemist Coffee Company,Kalledevarapura Washed,Kalledevarapura Estate,"Chikkamagaluru, Karnataka",1300,Single Estate,SLN - 795,,Washed,Medium,Almonds • Milk Chocolate • Nuts,,₹248.00,LINK,No
Alchemist Coffee Company,Balanoor Washed,Balanoor Estate,"Kodagu, Karnataka",1400,,,,Washed,Medium,Berry • Lemon • Light Spice,,₹248.00,LINK,No
Alchemist Coffee Company,Kalledevarapura Honey,Kalledevarapura Estate,"Chikkamagaluru, Karnataka",1300,,SLN - 795,,Honey,Medium,Herbal Tea • Malt • Stone Fruit,,₹246.00,LINK,No
Alchemist Coffee Company,Earth(Immersion Blend),,,,Blend,,,Honey + Natural + Washed,Medium,Chocolate,,₹246.00,LINK,No
Alchemist Coffee Company,Balanoor Espresso,Balanoor Estate,"Kodagu, Karnataka",1400,Single Estate,BBTC,,,Medium,Berry • Lemon • Light Spice,,₹240.00,LINK,No
Alchemist Coffee Company,Kalledevarapura Espresso,Kalledevarapura Estate,"Chikkamagaluru, Karnataka",1300,,SLN - 795,,Washed,Medium Dark,Chocolate • Nutty,,₹240.00,LINK,No
Alchemist Coffee Company,Rasasastra Arabica,,,,Single Estate,,,,Medium Dark,,,₹218.00,LINK,No
Alchemist Coffee Company,Fire(Vienna Roast),Kalledevarapura Estate,"Chikkamagaluru, Karnataka",1300,Blend,SLN - 795,,Washed,Vienna Roast,,,₹218.00,LINK,No
Alchemist Coffee Company,Rasasastra Espresso,,,,Blend,70% Arabica + 30% Robusta,,,Medium Dark,,,₹198.00,LINK,No
Alchemist Coffee Company,Koraput Naturals,SM Plantation,"Koraput, Odisha",980,Single Estate,Chandragiri SLN - 13,,Natural,Medium,Nuts • Prunes • Raisin • Red Apple,,₹106.00,LINK,No
Alchemist Coffee Company,Koraput Washed,Maa Mangala Plantation,"Koraput, Odisha",1000,Blend,"Chandragiri SLN - 13, SLN - 9",,Washed,Medium,Nuts • Raisin • Salted Caramel • Toffee,,₹100.00,LINK,No
Araku,Anniversary Edit,Araku,"Alluri Sitharama Raju, Andhra Pradesh",1083,Blend,,,Natural + Washed,Light,Honey • Red Apple • Watermelon,"Sourced from Gondi Rapa, Gondivalasa and Doravalasa, this blend brings together one natural and two washed coffees, grown at elevations between 3,691 and 3,967 ft. Cultivated under silver oak and native forest shade, each plot follows regenerative farming practices that preserve both biodiversity and flavour integrity.",₹780.00,LINK,No
Araku,Summer Edit,Araku,"Alluri Sitharama Raju, Andhra Pradesh",1170,Microlot,,,Natural,Medium,Cashew • Chocolate Muffin • Mandarin • Red Apple,"On the steep, rocky slopes of Degu Gasarapalli in Hukumpeta, Oranaini Apparao cultivates coffee at 1,170 metres, where elevation, soil and shade come together to shape a slower, more deliberate harvest. Under a canopy of silver oak trees, the cherries ripen gradually, allowing sugars to develop with care — resulting in a coffee that carries both structure and clarity.",₹432.00,LINK,No
Araku,Grand Reserve,Araku,"Alluri Sitharama Raju, Andhra Pradesh",1120,Blend,,,Natural + Washed,Medium,Citrus • Dates • Floral • Tropical Fruits,Blend of arabica processed in two ways,₹356.00,LINK,Yes
Araku,Micro Climate,Araku,"Alluri Sitharama Raju, Andhra Pradesh",850,Microlot,,,Natural,Medium,Dried Berry • Grapes • Honey • Olives,The coffee grows on river island of Baankubedda,₹252.00,LINK,Yes
Araku,Selection,Araku,"Alluri Sitharama Raju, Andhra Pradesh",1120,Blend,,,Honey + Natural + Washed,Medium Dark,Caramel • Dark Chocolate • Honey • Sugarcane,Blend of arabica processed in three ways,₹236.00,LINK,Yes
Araku,Signature,Araku,"Alluri Sitharama Raju, Andhra Pradesh",1120,Blend,,,Natural + Washed,Medium,Cherry • Chocolate • Green Pepper,Blend of arabica processed in two ways,₹216.00,LINK,Yes
Badra Coffee,Sovereign Grand Reserve,Bettadakhan Estate,"Chikkamagaluru, Karnataka",1100-1430,Microlot,Arabica,Cofermentation,Natural,Medium,Caramel • Honeyed Sapota • Mandarin Zest • Peach,"This rare microlot undergoes anaerobic fermentation with papaya and sapota for four days, followed by twenty-one days of slow shade drying that enhances its natural fruit complexity and sweetness.",₹420.00,LINK,No
Badra Coffee,Liberica Highland Reserve,Balehonnur Estate,"Chikkamagaluru, Karnataka",790-940,Microlot,Excelsa aka Liberica,Anaerobic,Natural,Medium,Black Cherry • Orange Blossom • Toffee • Tropical Fruits,"The cherries undergo a 5-day anaerobic fermentation in sealed barrels to build depth and complexity, followed by a slow 25-day drying period on raised beds under shade to preserve sweetness and balance.",₹400.00,LINK,No
Badra Coffee,Kanfora Prestige Reserve,Balehonnur Estate,"Chikkamagaluru, Karnataka",790-940,Microlot,Robusta,Anaerobic Inoculation,Natural,Medium,Brown Sugar • Chocolate • Passion Fruit • Toasted Nuts,"This premium microlot undergoes a precise four-day fermentation followed by twenty-one days of slow, controlled drying that amplifies its natural sweetness.",₹360.00,LINK,No
Badra Coffee,Temple Mountain,Bettadakhan Estate,"Chikkamagaluru, Karnataka",1100-1430,Single Estate,Arabica,,Natural,Medium,Caramel • Cinnamon • Vanilla,,₹272.00,LINK,Yes
Badra Coffee,Misty Heights,Kerkeicoondah Estate,"Chikkamagaluru, Karnataka",900-1140,Single Estate,Arabica + Robusta,,,Medium,Apricot • Honey • Orange • Vanilla,,₹234.00,LINK,Yes
Badra Coffee,Mocha Magic,"Balehonnur, Bettadakhan, Kerkeicoondah","Chikkamagaluru, Karnataka",790-1430,Blend,,,,Medium Dark,Dark Chocolate • Praline • Roasted Nuts • Tangerine,,₹228.00,LINK,Yes
Badra Coffee,Kaapi Nirvana,"Balehonnur, Bettadakhan, Kerkeicoondah","Chikkamagaluru, Karnataka",790-1430,Blend,Arabica + Robusta,,,Medium Dark,Almond • Honey • Plum • Vanilla,,₹172.00,LINK,Yes
Bili Hu,Rum Barrel Aged,,"Chikkamagaluru, Karnataka",,Microlot,Arabica,,Washed + Aged,Medium,Apple Crumble • Soaked Raisins • Vanilla,,₹720.00,LINK,No
Bili Hu,Whiskey Barrel Aged Coffee,,"Chikkamagaluru, Karnataka",,Microlot,Arabica,,Washed + Aged,Medium,Green Apple • Irish Cream • Single Malt,,₹720.00,LINK,Yes
Bili Hu,Lot 19 Kalledevarapura Estate,Kalledevarapura Estate,"Chikkamagaluru, Karnataka",1300,Microlot,SLN - 795,Anaerobic,Natural,Medium,Dark Chocolate • Maple Syrup • Roasted Nuts,,₹360.00,LINK,No
Bili Hu,Balur Estate,Balur Estate,"Chikkamagaluru, Karnataka",,Single Estate,Arabica,,Honey,Dark,Almonds • Dark Chocolate,,₹340.00,LINK,No
Bili Hu,100% Arabica,,"Chikkamagaluru, Karnataka",,Blend,Arabica,,Washed,Dark,Cherry • Cocoa,,₹300.00,LINK,Yes
Bili Hu,Monsooned Malabar,,"Chikkamagaluru, Karnataka",,Microlot,,,Natural + Monsooned,Light Medium,Jaggery • Nuts,,₹300.00,LINK,Yes
Bili Hu,Balur Estate,Balur Estate,"Chikkamagaluru, Karnataka",,Single Estate,Arabica,,Honey,Medium,Black Grapes • Sweet Berries,,₹300.00,LINK,No
Bili Hu,Gunibyle Estate San Ramon,Gunibyle Estate,"Chikkamagaluru, Karnataka",,Microlot,Arabica,,Natural,Medium,Dark Chocolate • Molasses • Pomogranate,,₹300.00,LINK,No
Bili Hu,Gunibyle Estate,Gunibyle Estate,"Chikkamagaluru, Karnataka",,Single Estate,Arabica,,Natural,Medium,Chocolate • Plum Wine,,₹300.00,LINK,No
Bili Hu,Aghora Estate,Aghora Estate,"Chikkamagaluru, Karnataka",1100,Single Estate,Arabica,,Washed,Medium,Roasted Nuts • Sweet Lime,,₹300.00,LINK,No
Bili Hu,Kalledevarapura Estate,Kalledevarapura Estate,"Chikkamagaluru, Karnataka",1300,Single Estate,Arabica,,Washed,Medium,Milk Chocolate • Sweet Citrus,,₹300.00,LINK,No
Bili Hu,Mysore Nuggets Extra Bold,,"Chikkamagaluru, Karnataka",1100,Microlot,SLN - 795,,Washed,Medium,Milk Chocolate • Spices,,₹300.00,LINK,No
Bili Hu,70 30 Arabica Robusta,"Balur, Kalledevarapura Estate","Chikkamagaluru, Karnataka",1300,Blend,70% Arabica + 30% Robusta,,Washed,Medium,Almonds • Dark Chocolate,,₹260.00,LINK,No
Bili Hu,80 20 Arabica Robusta,"Balur, Kalledevarapura Estate","Chikkamagaluru, Karnataka",1300,Blend,80% Arabica + 20% Robusta,,Washed,Medium,Almonds • Dark Chocolate,,₹260.00,LINK,No
Bili Hu,100% Arabica,,"Chikkamagaluru, Karnataka",,Blend,Arabica,,Washed,Medium,Date • Jaggery • Nuts,Blend of Arabica from 2 plantations,₹260.00,LINK,Yes
Bili Hu,Balur Estate,Balur Estate,"Chikkamagaluru, Karnataka",,Single Estate,Robusta,,Washed,Medium,Caramel Popcorn • Sweet Berries,,₹260.00,LINK,No
Black Baza Coffee,Kombucha Honey|BR Hills,,"Chamrajanagar, Karnataka",1200,Microlot,Chandragiri SLN - 13,Cofermentation,Honey,Light Medium,Almond • Honey • Nutmeg,After pulping the seeds are fermented in kombucha for 96 hours,₹288.00,LINK,No
Black Baza Coffee,Potter-Wasp|BR Hills,,"Chamrajanagar, Karnataka",1200,Single Estate,SLN - 9,,Honey,Light Medium,Dried Berries • Jaggery,,₹252.00,LINK,No
Black Baza Coffee,Frogmouth|Nilgiris,,"Nilgiris, Tamilnadu",1400,Single Estate,Chandragiri SLN - 13,,Washed,Medium,Amla • Guava • Walnuts,,₹244.00,LINK,No
Black Baza Coffee,Kaati|Palani Hills,,"Dindigul, Tamilnadu",1200,Blend,"Chandragiri SLN - 13, Sarchimor, SLN - 9",,Washed,Medium Dark,Burnt Caramel • Cocoa • Toasted Nuts,,₹244.00,LINK,No
Black Baza Coffee,Jumping Ant|BR Hills,,"Chamrajanagar, Karnataka",1200,Single Estate,SLN - 9,,Washed,Light,Honey • Nutty • Sweet Citrus,,₹240.00,LINK,Yes
Black Baza Coffee,Galaxy Frog | BR Hills|Nilgiris,,"Chamrajanagar, Karnataka | Nilgiris, Tamilnadu",1100|1400,Blend,SLN - 9,,Honey + Washed,Medium,Green Grapes • Lemon Zest • Molasses,The Galaxy Frog is a vibrant blend of Washed Arabicas (including Peaberries) and semi-washed Honeys,₹240.00,LINK,Yes
Black Baza Coffee,Wanderoo|BR Hills,,"Chamrajanagar, Karnataka",1100,Single Estate,Chandragiri SLN - 13,,Washed,Medium,Brown Sugar • Dark Chocolate,,₹240.00,LINK,Yes
Black Baza Coffee,Loris|BR Hills,,"Chamrajanagar, Karnataka",1200,Single Estate,SLN - 9,,Washed,Dark,Burnt Caramel • Dark Chocolate,,₹232.00,LINK,No
Black Baza Coffee,Tiger Beetle|BR Hills,,"Chamrajanagar, Karnataka",1200,Single Estate,SLN - 9 Peaberry,,Washed,Medium,Cherry Jam • Fruit and Nuts • Milk Chocolate,,₹232.00,LINK,No
Black Baza Coffee,Ottis|BR Hills|Wayanad,,"Chamrajanagar, Karnataka | Wayanad, Kerala",1100|700,Blend,"Kent, SLN - 9",,Natural + Washed,Medium Dark,Baker's Chocolate • Caramel • Dried Berries,80/20 Blend of Arabica and Robusta,₹232.00,LINK,No
Black Baza Coffee,Ficus|BR Hills|Wayanad,,"Chamrajanagar, Karnataka | Wayanad, Kerala",1100|700,Blend,"Kent, SLN - 9",,Natural + Washed,Medium Dark,Cacao Bitters • Dried Cranberries • Roast Almond,"Grown under the shade of ficus tree, this is a 70/30 blend of Arabica and Robusta",₹232.00,LINK,Yes
Black Baza Coffee,Chukki|BR Hills,,"Chamrajanagar, Karnataka",1200,Single Estate,SLN - 9,,Washed,Vienna Roast,Dark Chocolate • Hazelnut • Jaggery,,₹232.00,LINK,Yes
Bloom Coffee Roasters,Kolli Berry Estate - Naturals - Chikmagalur - Light Roast,Kolibyle Estate,"Chikkamagaluru, Karnataka",1150,Single Estate,SLN - 795,Anaerobic,Natural,Light,Raspberry • Stone Fruit • White Chocolate,"Ripe cherries were picked and meticulously sorted, then fermented anaerobically for 96 hours before being dried on raised beds for 28 days",₹390.00,LINK,No
Bloom Coffee Roasters,Salawara estate Naturals,Salawara Estate,"Hassan, Karnataka",1150,Single Estate,Chandragiri SLN - 13,Anaerobic Inoculation,Natural,Light,Citrus Fruits • Cocoa • Pineapple,"For this Naturals, Chandragiri cherries were picked ripe, cleaned, give a float test and were put in the bio-reactor to ferment for 36 hours. The cherries were inoculated with yeast during the fermentation. They were then dried over 26 day",₹350.00,LINK,No
Bloom Coffee Roasters,Udaigiri Estate - Naturals - Chikmagalur - Light Roast,Udaigiri Estate,"Chikkamagaluru, Karnataka",1150,Single Estate,SLN - 9,Osmotic,Natural,Light,Candied Nuts • Milk Chocolate • Mulberries,,₹340.00,LINK,No
Bloom Coffee Roasters,Salawara estate - Anaerobic Yellow Honey,Salawara Estate,"Hassan, Karnataka",1150,Single Estate,SLN - 795,Anaerobic,Honey,Light Medium,Hazelnut • Milk Chocolate • Tropical Fruits,,₹340.00,LINK,No
Bloom Coffee Roasters,Venkids Valley Estate - The Red Honey,Venkids Valley Estate,"Kodagu, Karnataka",1000,Single Estate,Catuai,,Honey,Light,Butterscotch • Mango,,₹320.00,LINK,Yes
Bloom Coffee Roasters,Salawara estate - Red Honey,Salawara Estate,"Hassan, Karnataka",1150,Single Estate,SLN - 795,Anaerobic,Honey,Light,Amla • Jaggery • Kinnow,"The Cherries were pulped Lightly, leaving a lot of the mucilage and were then fermented Anaerobically for 72 hours before they were slow dried for 22 days.",₹300.00,LINK,Yes
Bloom Coffee Roasters,Kelachandra estate - Naturals,Kelachandra Estate,"Chikkamagaluru, Kodagu, Karnataka",1150,Single Estate,Chandragiri SLN - 13,Anaerobic,Natural,Light,Cacao • Stone Fruit,,₹300.00,LINK,No
Bloom Coffee Roasters,Hoysala Estate - Naturals,Hoysala Estate,"Chikkamagaluru, Karnataka",1050,Single Estate,Sarchimor,,Natural,Light,Dark Chocolate • Dried Apricots • Orange Marmalade,,₹300.00,LINK,Yes
Bloom Coffee Roasters,Salawara estate - Yeast Washed,Salawara Estate,"Hassan, Karnataka",1150,Single Estate,Chandragiri SLN - 13,Anaerobic Inoculation,Washed,Light,Butterscotch • Peach • White Chocolate,"This washed process went through an Anaerobic yeast Fermentation before pulping, and then the coffee was washed thoroughly to remove the mucilage.",₹300.00,LINK,No
Bloom Coffee Roasters,Anai Kadu - Naturals,Anai Kadu Estate,"Kodagu, Karnataka",1000,Single Estate,"Catimor Arabica, SLN - 795",,Natural,Light,Baker's Chocolate • Plum • Orange,"24 hour in fruit Aerobic Fermentation, slow dried for 28 days",₹280.00,LINK,Yes
Bloom Coffee Roasters,Meera,"Hoysala, Venkids Valley Estate","Chikkamagaluru, Kodagu, Karnataka",1000-1050,Blend,"Chandragiri SLN - 13, SLN - 9",,Natural + Washed,Light Medium,Bakers Chocolate • Berries • Caramel • Vanilla,"Meera features two incredible coffees, our staple washed arabica from Coorg’s favourite plantation, the Venkids Valley Estate, and a stunning “Natural Naturals“ from the Krishnagiri Estate, located in some of the highest elevations of Chikmagalur. What do we get when we blend a clean bright washed and a super sweet, jammy Natural Naturals? A yummy, sweet, super complex, rich espresso, which holds its own in milk beverages as well!",₹280.00,LINK,Yes
Bloom Coffee Roasters,Harley Estate - Vienna Roast,Harley Estate,"Hassan, Karnataka",1130,Single Estate,SLN - 9,,Natural,Vienna Roast,Blackberry Jam • Cacao • Caramel,,₹280.00,LINK,No
Bloom Coffee Roasters,Hoysala Estate - Washed,Hoysala Estate,"Chikkamagaluru, Karnataka",1050,Single Estate,Sarchimor,,Washed,Light,Orange • Stone Fruit,,₹270.00,LINK,Yes
Bloom Coffee Roasters,,,,,Blend,,,,Medium,Cherries • Citrus Fruits • Nuts,The beans of the highest brix are identified (colour coded bands are given to workers at the estate to pick the cherries). They are sorted for defects twice before using the penagos washer + pulper. Floats are removed and the coffee beans with little bit of mucilage are dried on raised beds. They are exposed to the morning sun for the first two days and then completely dried in shade for a period of 20-25 days.,₹270.00,LINK,Yes
Bloom Coffee Roasters,Balanoor Plantations - Kent,Balanoor Estate,"Kodagu, Karnataka",1400,Single Estate,Kent,,Washed,Medium,Chocolate • Citrus Fruits • Plum,,₹270.00,LINK,Yes
Bloom Coffee Roasters,Salawara estate -Washed,Salawara Estate,"Hassan, Karnataka",1150,Single Estate,,,Washed,Dark,Caramel • Milk Chocolate,,₹260.00,LINK,Yes
Bloom Coffee Roasters,Papakuchi Coffee,Venkids Valley Estate,"Kodagu, Karnataka",1000,Single Estate,SLN - 6,,Washed,Light,Malt • Pomogranate • Red Apple,,₹260.00,LINK,Yes
Bloom Coffee Roasters,Venkids Valley Estate (Washed),Venkids Valley Estate,"Kodagu, Karnataka",1000,Single Estate,SLN - 6,,Washed,Medium,Caramel • Chocolate • Orange Zest,,₹240.00,LINK,Yes
Bloom Coffee Roasters,Vin Van Gogh,"Venkids Valley Estate, Moganad Estate","Kodagu, Karnataka | Salem, Tamilnadu",1000-1300,Blend,"SLN - 5B, SLN - 6, SLN - 9",,Washed,Medium Dark,Almonds • Berries • Chocolate,,₹240.00,LINK,Yes
Bloom Coffee Roasters,Kid Dynamite,"Kottaram Estate, Salawara Estate","Wayanad, Kerala | Hassan, Karnataka",1000-1370,Blend,"Robusta CxR, SLN - 795",,Natural + Washed,Dark,Chocolate,"This blend features the lovely washed arabica from the Salawara Estate, and the natural processed robusta from the Kottaram Estate in Wayanad, Kerala.",₹220.00,LINK,No
Bloom Coffee Roasters,Satchmo,"Salawara Estate, Venkids Valley Estate","Hassan, Kodagu, Karnataka",1000-1050,Blend,"SLN - 6, SLN - 9",,Washed,Medium Dark,Chocolate • Citrus • Dark Caramel,,₹210.00,LINK,Yes
Bloom Coffee Roasters,Ro-Busta Rhymes,"Venkids Valley Estate, Moganad Estate","Kodagu, Karnataka | Salem, Tamilnadu",1000-1300,Blend,"Robusta CxR, SLN - 795",,Natural + Washed,Medium Dark,,"This blend features the lovely washed arabica from the Moganad Estate, and the natural processed robusta from the Venkids Valley Estate. Washed Arabica and Naturals Robusta",₹200.00,LINK,Yes
Bloom Coffee Roasters,Pulney Coffee,Laks Farms,"Dindigul, Tamilnadu",1500,,"Chandragiri SLN - 13, SLN - 9",,Washed,,,,,,
Blue Tokai Coffee,Kalledevarapura Estate,Kalledevarapura Estate,"Chikkamagaluru, Karnataka",1300,Single Estate,Chandragiri SLN - 13,Anaerobic Inoculation,Natural,Light,"Homegrown Kombucha - Plum • Raw Mango • Candy Apple • Goji Berries.
 
 Saccharomyces Cerevisiae - White Nectarine • Pomegranate • Roasted Hazelnut • Pomelo.
 
 Pichia Yeast - Cane Sugar • Green Apple • Jaggery • Roasted Almonds.
 
 Lactic Acid Bacteria - Orange Zest • Black Raisin • Wild Honey • Cocoa.
 
 An anaerobically processed natural, used to benchmark the inoculated lots - Lemonade • Roasted Almond • Green Grape.","Ripe coffee cherries were split into eleven barrels of 120 kg each, with inoculants gradually added to ten barrels while one was kept as a control. The barrels were sealed and left indoors for a 72-hour fermentation, with the kombucha batch opened after 24 hours to allow oxygen exposure, as the SCOBY (Symbiotic Culture of Bacteria and Yeast) requires it to remain active. Once fermentation was complete, the cherries were dried on raised beds for 20 to 25 days.",₹560.00,LINK,No
Blue Tokai Coffee,Warsanlyngdoh Coffee Collective|Nongrynang,Warsanlyngdoh Coffee Collective,"Khasi Hills, Meghalaya",800-1500,Blend,"Chandragiri SLN - 13, SLN - 9",,Natural,Medium,Black Tea • Blueberry • Khasi Mandarin,,₹300.00,LINK,No
Blue Tokai Coffee,Amruthavarshini Estate,Amruthavarshini Estate,"Chikkamagaluru, Karnataka",1000,Single Estate,SLN - 9,Anaerobic,Natural,Medium,Cherries • Pineapple • Roasted Almonds,,₹300.00,LINK,No
Blue Tokai Coffee,Krishnagiri Estate,Krishnagiri Estate,"Chikkamagaluru, Karnataka",1500,Single Estate,SLN - 795,,Washed,Dark,Malt • Oak • Toasted Walnuts,,₹280.00,LINK,No
Blue Tokai Coffee,Kolli Beri Estate,Kolli Beri Estate,"Chikkamagaluru, Karnataka",1032-1112,Single Estate,SLN - 795,,Washed,Medium Dark,Dark Chocolate • Molasses • Prune,,₹280.00,LINK,No
Blue Tokai Coffee,Ratnagiri Estate Estate Natural - Dark Room,Ratnagiri Estate,"Chikkamagaluru, Karnataka",1300,Single Estate,Catuai,Anaerobic Inoculation,Natural,Light,Black Tea • Mosambi • Passionfruit,"It was shaped by a 60-hour fermentation with a custom culture, then dried slowly for 13 days in the estate’s climate-controlled dark room.
 
 A rare facility found at only a handful of estates worldwide, the dark room is fully sealed and fitted with precision racks. It holds temperature between 2°C and 30°C and maintains humidity at 10%. Slow drying with this level of control deepens flavour, preserves sweetness, and brings clarity to the cup.
 
 Antony, our roaster, approached the roast with a carefully extended Maillard phase to build natural sweetness, finishing Light to let the coffee’s character shine.",₹240.00,LINK,No
Blue Tokai Coffee,Skia|Nelaji,,"Kodagu, Karnataka",990-1020,Microlot,Chandragiri SLN - 13,,Honey + Washed,Medium,Almonds • Berries • Brown Sugar • Prunes • Sweet Lime • Tangerine,"Two separate coffees sold as a pair, Ripe, high-density cherries were pulped with the mucilage left intact, then placed in sealed tanks for a 72-hour anaerobic fermentation. A yeast strain purpose-built for controlled fermentation was introduced during this stage to develop complexity. One lot is honey sun dried and the second lot is put through thermal shock, was immersed in hot water, then rapidly cooled in ice. It was then mechanically washed and dried slowly under shade.",₹240.00,LINK,No
Blue Tokai Coffee,Basankhan Estate,Basankhan Estate,"Chikkamagaluru, Karnataka",1450,Single Estate,,,Washed,Dark,Malt • Toffee,,₹224.00,LINK,Yes
Blue Tokai Coffee,Kalledevarapura Estate,Kalledevarapura Estate,"Chikkamagaluru, Karnataka",1300,Single Estate,SLN - 795,,Honey,Medium,Brown Sugar • Raisin • Roasted Almond,The picking of coffee cherries at Kalledevarapura is carried out across four rounds to ensure that the best cherries are picked.,₹224.00,LINK,Yes
Blue Tokai Coffee,Silver Oak Café Blend,,,,Blend,,,Natural + Washed,Medium,Grapes • Hazelnut • Honey,Blend from Karnataka and Tamil Nadu,₹224.00,LINK,Yes
